bloomberg_name	lps_deal_no	intex_group	lps_pool_id	tranche_count
ACE 2004-HE1	AC4H2	1	I10	9
ACE 2004-HE1	AC4H2	2	I11	9
ACE 2004-HE2	AC4E2	1	I18	9
ACE 2004-HE2	AC4E2	2	I19	11
ACE 2004-HE3	AC4E3	1	I2C	14
ACE 2004-HE3	AC4E3	2	I2D	16
ACE 2004-HE4	AC4E4	1	I2E	13
ACE 2004-HE4	AC4E4	2	I2F	13
ACE 2004-HS1	AC4H1	1	I0Y	8
ACE 2004-HS1	AC4H1	2	I0Z	7
ACE 2004-IN1	AC4I1	1	I14	8
ACE 2004-IN1	AC4I1	2	I15	9
ACE 2004-OP1	AC4O1	1	I12	8
ACE 2004-OP1	AC4O1	2	I13	10
ACE 2004-RM1	AC4R1	1	I16	11
ACE 2004-RM1	AC4R1	2	I17	10
ACE 2004-RM2	AC4R2	0	I2G	13
ACE 2004-SD1	AC4S1	1	I2A	5
ACE 2004-SD1	AC4S1	2	I2B	5
ACE 2005-AG1	A5AG1	1	A3X	14
ACE 2005-AG1	A5AG1	2	A3Y	13
ACE 2005-AG1	A5AG1	3	A3Z	15
ACE 2005-ASP1	A5AS1	1	I6A	10
ACE 2005-ASP1	A5AS1	2	I6B	13
ACE 2005-HE1	AC5E1	1	I2H	2
ACE 2005-HE1	AC5E1	2	I2I	3
ACE 2005-HE2	AC5E2	1	I2N	13
ACE 2005-HE2	AC5E2	2	I2O	15
ACE 2005-HE3	AC5E3	1	I2Q	14
ACE 2005-HE3	AC5E3	2	I2R	15
ACE 2005-HE4	AC5E4	1	I2U	15
ACE 2005-HE4	AC5E4	2	I2V	16
ACE 2005-HE5	AC5E5	1	GJ6	14
ACE 2005-HE5	AC5E5	2	GJ7	16
ACE 2005-HE6	AC5E6	1	GMH	14
ACE 2005-HE6	AC5E6	2	GMI	17
ACE 2005-HE7	AC5E7	1	0EQ	12
ACE 2005-HE7	AC5E7	1B	0ER	13
ACE 2005-HE7	AC5E7	2	0ES	15
ACE 2005-RM1	AC5R1	1	I2L	14
ACE 2005-RM1	AC5R1	2	I2M	15
ACE 2005-RM2	AC5R2	1	I2S	15
ACE 2005-RM2	AC5R2	2	I2T	17
ACE 2005-SD1	AC5S1	1	I2J	5
ACE 2005-SD1	AC5S1	2	I2K	5
ACE 2005-SD2	AC5S2	0	I2W	6
ACE 2005-SD3	AC5S3	0	0C2	7
ACE 2005-SL1	A5SL1	0	GJ8	11
ACE 2005-SN1	AC5N1	0	I2P	6
ACE 2005-WF1	AC5W1	1	I4P	12
ACE 2005-WF1	AC5W1	2	I4Q	14
ACE 2006-ASL1	A6ASL	0	A70	11
ACE 2006-ASP1	A6AS1	1	0HF	12
ACE 2006-ASP1	A6AS1	2	0HG	15
ACE 2006-ASP2	A6AS2	1	A6S	13
ACE 2006-ASP2	A6AS2	2	A6T	16
ACE 2006-ASP3	A6AS3	1	AAX	12
ACE 2006-ASP3	A6AS3	2	AAY	15
ACE 2006-ASP4	A6AS4	1	AKY	12
ACE 2006-ASP4	A6AS4	2	AKZ	15
ACE 2006-ASP5	A6AS5	1	AOU	1
ACE 2006-ASP5	A6AS5	2	AOV	1
ACE 2006-ASP5	A6AS5	3	AOW	4
ACE 2006-ASP6	A6AS6	1	APU	10
ACE 2006-ASP6	A6AS6	1B	APV	10
ACE 2006-ASP6	A6AS6	2	APW	13
ACE 2006-CW1	A6CW1	1	AMR	12
ACE 2006-CW1	A6CW1	2	AMS	15
ACE 2006-FM1	A6FM1	1	AMP	12
ACE 2006-FM1	A6FM1	2	AMQ	15
ACE 2006-FM2	A6FM2	1	AP2	1
ACE 2006-FM2	A6FM2	2	AP3	4
ACE 2006-GP1	ACE61	0	I1E	1
ACE 2006-HE1	AC6E1	1	0KC	11
ACE 2006-HE1	AC6E1	1B	0KD	12
ACE 2006-HE1	AC6E1	2	0KE	14
ACE 2006-HE2	AC6E2	1	0QN	12
ACE 2006-HE2	AC6E2	2	0QO	15
ACE 2006-HE3	AC6E3	1	1M8	12
ACE 2006-HE3	AC6E3	2	2M8	15
ACE 2006-HE4	AC6E4	1	2M6	11
ACE 2006-HE4	AC6E4	2	2M7	14
ACE 2006-NC1	A6NC1	1	0HH	11
ACE 2006-NC1	A6NC1	2	0HI	14
ACE 2006-NC2	A6NC2	1	0RX	1
ACE 2006-NC2	A6NC2	2	0RY	4
ACE 2006-NC3	A6NC3	1	0TI	12
ACE 2006-NC3	A6NC3	1B	0TJ	12
ACE 2006-NC3	A6NC3	2	0TK	15
ACE 2006-OP1	A6OP1	1	0P7	12
ACE 2006-OP1	A6OP1	1B	0P8	12
ACE 2006-OP1	A6OP1	2	0P9	15
ACE 2006-OP2	A6OP2	1	0TE	1
ACE 2006-OP2	A6OP2	2	0TF	4
ACE 2006-SD1	A6D01	0	A6U	7
ACE 2006-SD2	A6D02	0	B6U	6
ACE 2006-SD3	A6D03	0	00E	10
ACE 2006-SL1	A6SL1	0	0HJ	12
ACE 2006-SL2	A6SL2	0	A6V	14
ACE 2006-SL3	A6SL3	0	1HJ	12
ACE 2006-SL4	A6SL4	0	1HK	13
ACE 2007-ASL1	A7ASL	1	1HP	14
ACE 2007-ASL1	A7ASL	2	1HQ	14
ACE 2007-ASP1	A7AP1	1	1HR	10
ACE 2007-ASP1	A7AP1	2	1HS	13
ACE 2007-ASP2	A7AP2	1	492	13
ACE 2007-ASP2	A7AP2	2	493	16
